اسم السورة,ترتيب السورة,رقم الآية,كم تمثل الآية من سطر
الانفطار,82,8,0.6
الانفطار,82,9,0.4
الانفطار,82,10,0.5
الانفطار,82,11,0.2
الانفطار,82,12,0.4
الانفطار,82,13,0.4
الانفطار,82,14,0.5
الانفطار,82,15,0.3
الانفطار,82,16,0.3
الانفطار,82,17,0.5
الانفطار,82,18,0.5
الانفطار,82,19,1
التكوير,81,1,2.3
التكوير,81,2,0.5
التكوير,81,3,0.3
التكوير,81,4,0.5
التكوير,81,5,0.4
التكوير,81,6,0.5
التكوير,81,7,0.4
التكوير,81,8,0.4
التكوير,81,9,0.3
التكوير,81,10,0.4
التكوير,81,11,0.4
التكوير,81,12,0.4
التكوير,81,13,0.3
التكوير,81,14,0.5
التكوير,81,15,0.4
التكوير,81,16,0.3
التكوير,81,17,0.4
التكوير,81,18,0.3
التكوير,81,19,0.4
التكوير,81,20,0.5
التكوير,81,21,0.2
التكوير,81,22,0.4
التكوير,81,23,0.5
التكوير,81,24,0.5
التكوير,81,25,0.5
التكوير,81,26,0.2
التكوير,81,27,0.5
التكوير,81,28,0.4
التكوير,81,29,1.2
عبس,80,1,1.2
عبس,80,2,0.3
عبس,80,3,0.4
عبس,80,4,0.5
عبس,80,5,0.3
عبس,80,6,0.3
عبس,80,7,0.3
عبس,80,8,0.4
عبس,80,9,0.2
عبس,80,10,0.3
عبس,80,11,0.3
عبس,80,12,0.2
عبس,80,13,0.3
عبس,80,14,0.4
عبس,80,15,0.3
عبس,80,16,0.2
عبس,80,17,0.2
عبس,80,18,0.4
عبس,80,19,0.4
عبس,80,20,0.4
عبس,80,21,0.2
عبس,80,22,0.3
عبس,80,23,0.4
عبس,80,24,0.5
عبس,80,25,0.3
عبس,80,26,0.4
عبس,80,27,0.3
عبس,80,28,0.3
عبس,80,29,0.3
عبس,80,30,0.3
عبس,80,31,0.3
عبس,80,32,0.3
عبس,80,33,0.4
عبس,80,34,0.4
عبس,80,35,0.3
عبس,80,36,0.3
عبس,80,37,0.5
عبس,80,38,0.4
عبس,80,39,0.4
عبس,80,40,1.1
عبس,80,41,0.3
عبس,80,42,0.4
النازعات,79,1,2.3
النازعات,79,2,0.3
النازعات,79,3,0.4
النازعات,79,4,0.4
النازعات,79,5,0.3
النازعات,79,6,0.3
النازعات,79,7,0.4
النازعات,79,8,0.5
النازعات,79,9,0.2
النازعات,79,10,0.2
النازعات,79,11,0.5
النازعات,79,12,0.5
النازعات,79,13,0.3
النازعات,79,14,0.4
النازعات,79,15,0.5
النازعات,79,16,0.5
النازعات,79,17,0.5
النازعات,79,18,0.4
النازعات,79,19,0.5
النازعات,79,20,0.4
النازعات,79,21,0.4
النازعات,79,22,0.3
النازعات,79,23,0.3
النازعات,79,24,0.4
النازعات,79,25,0.5
النازعات,79,26,0.5
النازعات,79,27,0.5
النازعات,79,28,0.4
النازعات,79,29,0.6
النازعات,79,30,0.5
النازعات,79,31,0.5
النازعات,79,32,0.3
النازعات,79,33,0.4
النازعات,79,34,0.4
النازعات,79,35,0.6
النازعات,79,36,0.5
النازعات,79,37,0.3
النازعات,79,38,0.4
النازعات,79,39,0.4
النازعات,79,40,0.8
النازعات,79,41,0.4
النازعات,79,42,0.6
النازعات,79,43,0.4
النازعات,79,44,0.3
النازعات,79,45,0.5
النازعات,79,46,2
النبأ,78,1,2.3
النبأ,78,2,0.3
النبأ,78,3,0.4
النبأ,78,4,0.3
النبأ,78,5,0.3
النبأ,78,6,0.4
النبأ,78,7,0.3
النبأ,78,8,0.3
النبأ,78,9,0.4
النبأ,78,10,0.4
النبأ,78,11,0.5
النبأ,78,12,0.5
النبأ,78,13,0.4
النبأ,78,14,0.5
النبأ,78,15,0.5
النبأ,78,16,0.3
النبأ,78,17,0.6
النبأ,78,18,0.5
النبأ,78,19,0.7
النبأ,78,20,0.5
النبأ,78,21,0.5
النبأ,78,22,0.2
النبأ,78,23,0.4
النبأ,78,24,0.5
النبأ,78,25,0.4
النبأ,78,26,0.3
النبأ,78,27,0.6
النبأ,78,28,0.5
النبأ,78,29,0.6
النبأ,78,30,0.6
النبأ,78,31,0.3
النبأ,78,32,0.3
النبأ,78,33,0.3
النبأ,78,34,0.2
النبأ,78,35,0.5
النبأ,78,36,0.5
النبأ,78,37,1.1
النبأ,78,38,1.4
النبأ,78,39,0.8
النبأ,78,40,1.6
المرسلات,77,1,2.3
المرسلات,77,2,0.4
المرسلات,77,3,0.3
المرسلات,77,4,0.3
المرسلات,77,5,0.3
المرسلات,77,6,0.3
المرسلات,77,7,0.4
المرسلات,77,8,0.4
المرسلات,77,9,0.3
المرسلات,77,10,0.4
المرسلات,77,11,0.3
المرسلات,77,12,0.3
المرسلات,77,13,0.3
المرسلات,77,14,0.5
المرسلات,77,15,0.5
المرسلات,77,16,0.3
المرسلات,77,17,0.4
المرسلات,77,18,0.5
المرسلات,77,19,0.5
المرسلات,77,20,0.4
المرسلات,77,21,0.5
المرسلات,77,22,0.2
المرسلات,77,23,0.5
المرسلات,77,24,0.4
المرسلات,77,25,0.4
المرسلات,77,26,0.3
المرسلات,77,27,0.9
المرسلات,77,28,0.4
المرسلات,77,29,0.5
المرسلات,77,30,0.6
المرسلات,77,31,0.6
المرسلات,77,32,0.4
المرسلات,77,33,0.4
المرسلات,77,34,0.5
المرسلات,77,35,0.4
المرسلات,77,36,0.5
المرسلات,77,37,0.3
المرسلات,77,38,0.7
المرسلات,77,39,0.4
المرسلات,77,40,0.4
المرسلات,77,41,0.6
المرسلات,77,42,0.4
المرسلات,77,43,0.7
المرسلات,77,44,0.5
المرسلات,77,45,0.3
المرسلات,77,46,0.5
المرسلات,77,47,0.5
المرسلات,77,48,0.7
المرسلات,77,49,0.4
المرسلات,77,50,0.7
الإنسان,76,1,3
الإنسان,76,2,1.1
الإنسان,76,3,0.9
الإنسان,76,4,0.9
الإنسان,76,5,1.1
الإنسان,76,6,0.7
الإنسان,76,7,0.6
الإنسان,76,8,0.9
الإنسان,76,9,0.8
الإنسان,76,10,0.7
الإنسان,76,11,0.7
الإنسان,76,12,0.6
الإنسان,76,13,1
الإنسان,76,14,0.7
الإنسان,76,15,0.8
الإنسان,76,16,0.5
الإنسان,76,17,0.6
الإنسان,76,18,0.4
الإنسان,76,19,1
الإنسان,76,20,0.7
الإنسان,76,21,1.4
الإنسان,76,22,0.8
الإنسان,76,23,0.6
الإنسان,76,24,0.8
الإنسان,76,25,0.7
الإنسان,76,26,0.9
الإنسان,76,27,1
الإنسان,76,28,1.1
الإنسان,76,29,1
الإنسان,76,30,1
الإنسان,76,31,1
القيامة,75,1,2.4
القيامة,75,2,0.5
القيامة,75,3,0.5
القيامة,75,4,0.5
القيامة,75,5,0.5
القيامة,75,6,0.4
القيامة,75,7,0.2
القيامة,75,8,0.3
القيامة,75,9,0.4
القيامة,75,10,0.5
القيامة,75,11,0.2
القيامة,75,12,0.4
القيامة,75,13,0.6
القيامة,75,14,0.5
القيامة,75,15,0.2
القيامة,75,16,0.6
القيامة,75,17,0.4
القيامة,75,18,0.5
القيامة,75,19,0.4
القيامة,75,20,0.4
القيامة,75,21,0.3
القيامة,75,22,0.3
القيامة,75,23,0.3
القيامة,75,24,0.4
القيامة,75,25,0.3
القيامة,75,26,0.3
القيامة,75,27,0.3
القيامة,75,28,0.3
القيامة,75,29,0.3
القيامة,75,30,0.5
القيامة,75,31,0.3
القيامة,75,32,0.4
القيامة,75,33,0.5
القيامة,75,34,0.2
القيامة,75,35,0.4
القيامة,75,36,0.5
القيامة,75,37,0.4
القيامة,75,38,0.4
القيامة,75,39,0.6
القيامة,75,40,0.6
المدثر,74,1,2.3
المدثر,74,2,0.2
المدثر,74,3,0.2
المدثر,74,4,0.3
المدثر,74,5,0.3
المدثر,74,6,0.4
المدثر,74,7,0.3
المدثر,74,8,0.3
المدثر,74,9,0.5
المدثر,74,10,0.4
المدثر,74,11,0.5
المدثر,74,12,0.4
المدثر,74,13,0.3
المدثر,74,14,0.5
المدثر,74,15,0.2
المدثر,74,16,0.5
المدثر,74,17,0.4
المدثر,74,18,0.3
المدثر,74,19,0.3
المدثر,74,20,0.3
المدثر,74,21,0.1
المدثر,74,22,0.4
المدثر,74,23,0.3
المدثر,74,24,0.4
المدثر,74,25,0.4
المدثر,74,26,0.3
المدثر,74,27,0.3
المدثر,74,28,0.4
المدثر,74,29,0.2
المدثر,74,30,0.3
المدثر,74,31,4.9
المدثر,74,32,0.2
المدثر,74,33,0.3
المدثر,74,34,0.4
المدثر,74,35,0.3
المدثر,74,36,0.3
المدثر,74,37,0.5
المدثر,74,38,0.5
المدثر,74,39,0.3
المدثر,74,40,0.3
المدثر,74,41,0.3
المدثر,74,42,0.4
المدثر,74,43,0.4
المدثر,74,44,0.5
المدثر,74,45,0.5
المدثر,74,46,0.5
المدثر,74,47,0.4
المدثر,74,48,0.5
المدثر,74,49,0.5
المدثر,74,50,0.5
المدثر,74,51,0.3
المدثر,74,52,0.9
المدثر,74,53,0.4
المدثر,74,54,0.5
المدثر,74,55,0.4
المدثر,74,56,1
المزمل,73,1,2.3
المزمل,73,2,0.3
المزمل,73,3,0.4
المزمل,73,4,0.6
المزمل,73,5,0.5
المزمل,73,6,0.7
المزمل,73,7,0.6
المزمل,73,8,0.6
المزمل,73,9,0.9
المزمل,73,10,0.8
المزمل,73,11,0.8
المزمل,73,12,0.5
المزمل,73,13,0.5
المزمل,73,14,1
المزمل,73,15,1
المزمل,73,16,0.9
المزمل,73,17,0.8
المزمل,73,18,0.8
المزمل,73,19,1
المزمل,73,20,7
الجن,72,1,3.1
الجن,72,2,0.9
الجن,72,3,0.8
الجن,72,4,0.7
الجن,72,5,0.8
الجن,72,6,1.1
الجن,72,7,0.8
الجن,72,8,1.1
الجن,72,9,1.3
الجن,72,10,1.1
الجن,72,11,0.9
الجن,72,12,1
الجن,72,13,1.4
الجن,72,14,1.2
الجن,72,15,0.8
الجن,72,16,0.9
الجن,72,17,1
الجن,72,18,0.8
الجن,72,19,0.8
الجن,72,20,0.7
الجن,72,21,0.7
الجن,72,22,1
الجن,72,23,1.4
الجن,72,24,1.3
الجن,72,25,1
الجن,72,26,0.8
الجن,72,27,1.2
الجن,72,28,1.4
نوح,71,1,3.2
نوح,71,2,0.6
نوح,71,3,0.6
نوح,71,4,1.6
نوح,71,5,0.6
نوح,71,6,0.5
نوح,71,7,1.9
نوح,71,8,0.5
نوح,71,9,0.7
نوح,71,10,0.8
نوح,71,11,0.5
نوح,71,12,1
نوح,71,13,0.5
نوح,71,14,0.4
نوح,71,15,0.7
نوح,71,16,0.9
نوح,71,17,0.5
نوح,71,18,0.6
نوح,71,19,0.7
نوح,71,20,0.4
نوح,71,21,1.2
نوح,71,22,0.5
نوح,71,23,1.2
نوح,71,24,0.9
نوح,71,25,1.2
نوح,71,26,0.9
نوح,71,27,1.1
نوح,71,28,1.8
المعارج,70,1,2.4
المعارج,70,2,0.5
المعارج,70,3,0.5
المعارج,70,4,1.2
المعارج,70,5,0.4
المعارج,70,6,0.3
المعارج,70,7,0.3
المعارج,70,8,0.4
المعارج,70,9,0.5
المعارج,70,10,0.5
المعارج,70,11,1
المعارج,70,12,0.4
المعارج,70,13,0.4
المعارج,70,14,0.5
المعارج,70,15,0.3
المعارج,70,16,0.3
المعارج,70,17,0.4
المعارج,70,18,0.3
المعارج,70,19,0.4
المعارج,70,20,0.4
المعارج,70,21,0.5
المعارج,70,22,0.3
المعارج,70,23,0.6
المعارج,70,24,0.6
المعارج,70,25,0.3
المعارج,70,26,0.5
المعارج,70,27,0.6
المعارج,70,28,0.5
المعارج,70,29,0.6
المعارج,70,30,0.9
المعارج,70,31,0.6
المعارج,70,32,0.6
المعارج,70,33,0.5
المعارج,70,34,0.5
المعارج,70,35,0.5
المعارج,70,36,0.5
المعارج,70,37,0.5
المعارج,70,38,0.9
المعارج,70,39,0.6
المعارج,70,40,0.7
المعارج,70,41,0.6
المعارج,70,42,0.9
المعارج,70,43,0.8
المعارج,70,44,1
الحاقة,69,1,2.2
الحاقة,69,2,0.2
الحاقة,69,3,0.4
الحاقة,69,4,0.5
الحاقة,69,5,0.6
الحاقة,69,6,0.8
الحاقة,69,7,1.8
الحاقة,69,8,0.5
الحاقة,69,9,0.7
الحاقة,69,10,0.7
الحاقة,69,11,0.6
الحاقة,69,12,0.7
الحاقة,69,13,0.5
الحاقة,69,14,0.8
الحاقة,69,15,0.4
الحاقة,69,16,0.6
الحاقة,69,17,1
الحاقة,69,18,0.7
الحاقة,69,19,1
الحاقة,69,20,0.4
الحاقة,69,21,0.5
الحاقة,69,22,0.4
الحاقة,69,23,0.3
الحاقة,69,24,0.9
الحاقة,69,25,0.8
الحاقة,69,26,0.4
الحاقة,69,27,0.5
الحاقة,69,28,0.3
الحاقة,69,29,0.3
الحاقة,69,30,0.3
الحاقة,69,31,0.3
الحاقة,69,32,0.8
الحاقة,69,33,0.5
الحاقة,69,34,0.6
الحاقة,69,35,0.4
الحاقة,69,36,0.5
الحاقة,69,37,0.3
الحاقة,69,38,0.5
الحاقة,69,39,0.3
الحاقة,69,40,0.4
الحاقة,69,41,0.6
الحاقة,69,42,0.5
الحاقة,69,43,0.4
الحاقة,69,44,0.5
الحاقة,69,45,0.4
الحاقة,69,46,0.4
الحاقة,69,47,0.6
الحاقة,69,48,0.3
الحاقة,69,49,0.6
الحاقة,69,50,0.4
الحاقة,69,51,0.3
الحاقة,69,52,0.6
القلم,68,1,2.5
القلم,68,2,0.5
القلم,68,3,0.5
القلم,68,4,0.5
القلم,68,5,0.4
القلم,68,6,0.3
القلم,68,7,1.1
القلم,68,8,0.4
القلم,68,9,0.6
القلم,68,10,0.5
القلم,68,11,0.4
القلم,68,12,0.4
القلم,68,13,0.5
القلم,68,14,0.4
القلم,68,15,1
القلم,68,16,0.4
القلم,68,17,0.9
القلم,68,18,0.3
القلم,68,19,0.6
القلم,68,20,0.3
القلم,68,21,0.4
القلم,68,22,0.7
القلم,68,23,0.4
القلم,68,24,0.6
القلم,68,25,0.3
القلم,68,26,0.5
القلم,68,27,0.3
القلم,68,28,0.6
القلم,68,29,0.6
القلم,68,30,0.5
القلم,68,31,0.5
القلم,68,32,0.8
القلم,68,33,0.7
القلم,68,34,0.6
القلم,68,35,0.5
القلم,68,36,0.4
القلم,68,37,0.5
القلم,68,38,0.4
القلم,68,39,1
القلم,68,40,0.4
القلم,68,41,0.8
القلم,68,42,1
القلم,68,43,1
القلم,68,44,1.2
القلم,68,45,0.4
القلم,68,46,0.8
القلم,68,47,0.5
القلم,68,48,1
القلم,68,49,0.9
القلم,68,50,0.6
القلم,68,51,1.2
القلم,68,52,0.4
الملك,67,1,2.8
الملك,67,2,1.2
الملك,67,3,1.6
الملك,67,4,1
الملك,67,5,1.5
الملك,67,6,0.9
الملك,67,7,0.8
الملك,67,8,1.2
الملك,67,9,1.4
الملك,67,10,0.7
الملك,67,11,0.9
الملك,67,12,1
الملك,67,13,0.9
الملك,67,14,0.7
الملك,67,15,1.4
الملك,67,16,1.1
الملك,67,17,1.3
الملك,67,18,0.8
الملك,67,19,1.5
الملك,67,20,1.3
الملك,67,21,1.1
الملك,67,22,1.2
الملك,67,23,1.4
الملك,67,24,0.7
الملك,67,25,0.8
الملك,67,26,0.8
الملك,67,27,1.4
الملك,67,28,1.5
الملك,67,29,1.1
الملك,67,30,1
التحريم,66,1,3.2
التحريم,66,2,1.1
التحريم,66,3,2.7
التحريم,66,4,2.3
التحريم,66,5,2
التحريم,66,6,2.6
التحريم,66,7,1.1
التحريم,66,8,5
التحريم,66,9,1.6
التحريم,66,10,3.4
التحريم,66,11,2.8
التحريم,66,12,2.2
الطلاق,65,1,5.5
الطلاق,65,2,3.4
الطلاق,65,3,1.9
الطلاق,65,4,2.9
الطلاق,65,5,1.3
الطلاق,65,6,3.5
الطلاق,65,7,2.2
الطلاق,65,8,1.5
الطلاق,65,9,0.8
الطلاق,65,10,1.4
الطلاق,65,11,3.3
الطلاق,65,12,2.3
التغابن,64,1,2.4
التغابن,64,2,1.3
التغابن,64,3,1.3
التغابن,64,4,1.4
التغابن,64,5,1.2
التغابن,64,6,1.8
التغابن,64,7,1.3
التغابن,64,8,1.2
التغابن,64,9,3.1
التغابن,64,10,1.7
التغابن,64,11,1.6
التغابن,64,12,1.5
التغابن,64,13,1.1
التغابن,64,14,2.6
التغابن,64,15,1.1
التغابن,64,16,2.2
التغابن,64,17,1.3
التغابن,64,18,1.9
المنافقون,63,1,4
المنافقون,63,2,1.2
المنافقون,63,3,1.1
المنافقون,63,4,2.7
المنافقون,63,5,1.7
المنافقون,63,6,2
المنافقون,63,7,2.3
المنافقون,63,8,2.5
المنافقون,63,9,2.1
المنافقون,63,10,2.3
المنافقون,63,11,2.1
الجمعة,62,1,3.1
الجمعة,62,2,2.3
الجمعة,62,3,0.9
الجمعة,62,4,1.1
الجمعة,62,5,2.6
الجمعة,62,6,1.8
الجمعة,62,7,1.1
الجمعة,62,8,2.1
الجمعة,62,9,2.2
الجمعة,62,10,1.8
الجمعة,62,11,2
الصف,61,1,3
الصف,61,2,1
الصف,61,3,0.9
الصف,61,4,1.4
الصف,61,5,2.7
الصف,61,6,2.6
الصف,61,7,1.4
الصف,61,8,1.1
الصف,61,9,1.4
الصف,61,10,1
الصف,61,11,1.5
الصف,61,12,1.7
الصف,61,13,0.9
الصف,61,14,3.4
الممتحنة,60,1,5.9
الممتحنة,60,2,1.5
الممتحنة,60,3,1.5
الممتحنة,60,4,4.9
